?     1	(("n'", 'est'), ['ce', 0, 0, 'pas'])	{'NIL': [('fr-ud-train_00908', '2', '3'), ('fr-ud-train_00995', '2', '3'), ('fr-ud-train_01334', '5', '6'), ('fr-ud-train_02558', '2', '3'), ('fr-ud-train_02887', '18', '19'), ('fr-ud-train_03316', '2', '3'), ('fr-ud-train_03548', '26', '27'), ('fr-ud-train_04546', '48', '49'), ('fr-ud-train_04650', '2', '3'), ('fr-ud-train_05611', '31', '32'), ('fr-ud-train_05790', '6', '7'), ('fr-ud-train_06701', '2', '3'), ('fr-ud-train_07709', '23', '24'), ('fr-ud-train_08048', '3', '4'), ('fr-ud-train_09857', '2', '3'), ('fr-ud-train_10945', '2', '3'), ('fr-ud-train_11021', '2', '3'), ('fr-ud-train_11774', '2', '3'), ('fr-ud-train_12360', '2', '3'), ('fr-ud-train_12577', '25', '26'), ('fr-ud-train_12870', '15', '16'), ('fr-ud-train_13067', '3', '4'), ('fr-ud-train_13716', '3', '4')], 'advmod - R': [('fr-ud-train_11770', 3, 4)]}
    82	(('il', 'y'), [',', 0, 0, 'a'])	{'NIL': [('fr-ud-train_00220', '6', '7'), ('fr-ud-train_00820', '20', '21'), ('fr-ud-train_00871', '8', '9'), ('fr-ud-train_01989', '8', '9'), ('fr-ud-train_04802', '15', '16'), ('fr-ud-train_05703', '6', '7'), ('fr-ud-train_05989', '10', '11'), ('fr-ud-train_06110', '18', '19'), ('fr-ud-train_06301', '9', '10'), ('fr-ud-train_10245', '7', '8'), ('fr-ud-train_10459', '7', '8'), ('fr-ud-train_11378', '10', '11'), ('fr-ud-train_11380', '13', '14'), ('fr-ud-train_11503', '13', '14'), ('fr-ud-train_12994', '13', '14'), ('fr-ud-train_13740', '36', '37')], 'fixed - L': [('fr-ud-train_02604', 6, 7), ('fr-ud-train_08208', 14, 15), ('fr-ud-train_08825', 24, 25)]}
    83	(('il', 'y'), [0, 0, 0, 'a'])	{'NIL': [('fr-ud-train_00231', '1', '2'), ('fr-ud-train_00775', '1', '2'), ('fr-ud-train_00868', '1', '2'), ('fr-ud-train_01054', '1', '2'), ('fr-ud-train_01426', '1', '2'), ('fr-ud-train_02387', '1', '2'), ('fr-ud-train_03062', '1', '2'), ('fr-ud-train_03085', '1', '2'), ('fr-ud-train_03149', '1', '2'), ('fr-ud-train_05775', '1', '2'), ('fr-ud-train_08438', '1', '2'), ('fr-ud-train_08843', '1', '2'), ('fr-ud-train_08901', '1', '2'), ('fr-ud-train_09819', '1', '2'), ('fr-ud-train_11361', '1', '2'), ('fr-ud-train_11412', '1', '2'), ('fr-ud-train_11585', '1', '2'), ('fr-ud-train_11989', '1', '2'), ('fr-ud-train_12040', '1', '2'), ('fr-ud-train_12548', '1', '2'), ('fr-ud-train_13806', '1', '2'), ('fr-ud-train_13887', '1', '2')], 'fixed - L': [('fr-ud-train_03109', 1, 2), ('fr-ud-train_04971', 1, 2), ('fr-ud-train_09062', 1, 2), ('fr-ud-train_12908', 1, 2)]}
    84	(('une', 'vingtaine'), ["d'", 0, 0, "d'"])	{'det - R': [('fr-ud-train_07576', 11, 12)], 'nummod - R': [('fr-ud-train_02572', 14, 15)]}
    85	(('département', 'région'), ['le', 'de', 'la', 'de'])	{'conj - L': [('fr-ud-train_09189', 25, 31)], 'nmod - L': [('fr-ud-train_08740', 18, 24)], 'NIL': [('fr-ud-train_04932', '24', '32')]}
    86	(('deux', 'brevet'), ['de', ':', 'un', '«'])	{'NIL': [('fr-ud-train_00277', '11', '24')], 'appos - L': [('fr-ud-train_00277', 11, 14)]}
    87	(('est', 'connue'), ['elle', 0, 0, 'pour'])	{'aux:tense - R': [('fr-ud-train_14549', 8, 9)], 'aux:pass - R': [('fr-ud-train_13596', 2, 3)]}
    88	(('située', 'province'), [',', 'dans', 'la', 'de'])	{'NIL': [('fr-ud-train_04103', '9', '15'), ('fr-ud-train_07528', '13', '23')], 'obl:arg - L': [('fr-ud-train_02234', 12, 15)]}
    89	(('a', 'encore'), ['y', 0, 0, 'un'])	{'NIL': [('fr-ud-train_13426', '16', '17')], 'advmod - L': [('fr-ud-train_08996', 11, 12)]}
    90	(('à', 'moins'), [',', 0, 0, "d'"])	{'case - R': [('fr-ud-train_10246', 33, 34)], 'fixed - L': [('fr-ud-train_00345', 11, 12)]}
    91	(('né', 'famille'), [0, 'dans', 'une', 'de'])	{'obl:arg - L': [('fr-ud-train_09430', 1, 4)], 'obl:mod - L': [('fr-ud-train_04438', 1, 4)]}
    92	(('le', 'fait'), ['de', 0, 0, 'que'])	{'NIL': [('fr-ud-train_09456', '29', '30')], 'det - R': [('fr-ud-train_01577', 4, 5), ('fr-ud-train_07201', 15, 16), ('fr-ud-train_08332', 8, 9)]}
    93	(('le', 'fait'), ['de', 0, 0, "qu'"])	{'NIL': [('fr-ud-train_09523', '29', '30'), ('fr-ud-train_12087', '28', '29')], 'det - R': [('fr-ud-train_03056', 15, 16), ('fr-ud-train_05625', 5, 6), ('fr-ud-train_09484', 5, 6)]}
    94	(('partage', 'nombre'), ['il', 'un', 'certain', 'de'])	{'NIL': [('fr-ud-train_00368', '10', '25')], 'obj - L': [('fr-ud-train_00368', 10, 13)]}
    95	(('nombre', 'nombre'), ['le', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_00589', '5', '22')], 'conj - L': [('fr-ud-train_06811', 12, 17), ('fr-ud-train_13856', 12, 17)]}
    96	(('clubs', 'champions'), ['les', 0, 0, 'en'])	{'appos - L': [('fr-ud-train_05870', 36, 37)], 'amod - L': [('fr-ud-train_00373', 37, 38)]}
    97	(('de', 'collines'), ['une', 'les', 'sept', 'de'])	{'NIL': [('fr-ud-train_00378', '6', '26')], 'case - R': [('fr-ud-train_00378', 23, 26)]}
    98	(("s'", 'appuyant'), ['en', 0, 0, 'sur'])	{'dep:comp - R': [('fr-ud-train_14214', 20, 21)], 'obj - R': [('fr-ud-train_00387', 2, 3)]}
    99	(('plus', 'ans'), ['de', 'de', '60', ','])	{'NIL': [('fr-ud-train_03761', '16', '54')], 'dep:comp - L': [('fr-ud-train_03761', 16, 19)]}
   100	(('zone', 'euro'), ['la', 0, 0, '.'])	{'nmod - L': [('fr-ud-train_08523', 29, 30)], 'appos - L': [('fr-ud-train_04742', 38, 39)]}
   101	(('°', 'c'), ['16', 0, 0, '.'])	{'appos - L': [('fr-ud-train_02092', 18, 19)], 'nmod - L': [('fr-ud-train_00525', 18, 19)]}
   102	(('the', 'world'), ['of', 0, 0, '.'])	{'flat:name - L': [('fr-ud-train_10324', 16, 17)], 'flat:foreign - L': [('fr-ud-train_09196', 10, 11)]}
   103	(('le', 'site'), [',', 0, 0, 'internet'])	{'NIL': [('fr-ud-train_13625', '5', '6')], 'det - R': [('fr-ud-train_01990', 3, 4)]}
   104	(('association', 'noblesse'), ["l'", 'de', 'la', 'européenne'])	{'NIL': [('fr-ud-train_00423', '2', '12'), ('fr-ud-train_00423', '2', '58')], 'nmod - L': [('fr-ud-train_00423', 2, 5)]}
   105	(('intérêts', 'noblesse'), ['les', 'de', 'la', 'européenne'])	{'NIL': [('fr-ud-train_00423', '9', '58')], 'nmod - L': [('fr-ud-train_00423', 9, 12)]}
   106	(('se', 'jette'), ['qui', 0, 0, 'dans'])	{'dep:comp - R': [('fr-ud-train_03363', 24, 25)], 'obj - R': [('fr-ud-train_00645', 13, 14)]}
   107	(('le', 'lieu'), ['à', 0, 0, 'de'])	{'NIL': [('fr-ud-train_00181', '47', '48'), ('fr-ud-train_00384', '17', '18'), ('fr-ud-train_01506', '38', '39'), ('fr-ud-train_02504', '6', '7'), ('fr-ud-train_04780', '37', '38'), ('fr-ud-train_04800', '22', '23'), ('fr-ud-train_06344', '19', '20'), ('fr-ud-train_09658', '24', '25')], 'det - R': [('fr-ud-train_04478', 31, 32), ('fr-ud-train_06482', 31, 32)]}
   108	(('communauté', 'agglomération'), ['la', 'de', "l'", "d'"])	{'NIL': [('fr-ud-train_00504', '2', '23')], 'nmod - L': [('fr-ud-train_00504', 2, 5)]}
   109	(('première', 'titre'), ['la', 'en', '(', 'original'])	{'NIL': [('fr-ud-train_00506', '20', '51')], 'nmod - L': [('fr-ud-train_00506', 20, 32)]}
   110	(('espèce', 'genre'), ['une', 'de', 'le', 'croton'])	{'NIL': [('fr-ud-train_00932', '5', '10')], 'nmod - L': [('fr-ud-train_00509', 5, 10)]}
   111	(('genre', 'famille'), ['un', 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_02990', '4', '11'), ('fr-ud-train_05201', '4', '9'), ('fr-ud-train_09046', '4', '9')], 'nmod - L': [('fr-ud-train_01505', 4, 9), ('fr-ud-train_08794', 4, 7), ('fr-ud-train_11025', 4, 9)]}
   112	(('origine', 'nom'), ["l'", 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_00512', '2', '27')], 'nmod - L': [('fr-ud-train_00635', 7, 10), ('fr-ud-train_02456', 2, 5), ('fr-ud-train_12168', 20, 23)]}
   113	(('amérique', 'sud'), ["d'", 'de', 'le', ','])	{'NIL': [('fr-ud-train_06528', '32', '54')], 'nmod - L': [('fr-ud-train_06528', 32, 35)]}
   114	(('orientali', 'del'), ['colli', 0, 0, 'friuli'])	{'NIL': [('fr-ud-train_02092', '3', '4')], 'flat:name - L': [('fr-ud-train_00525', 3, 4)]}
   115	(('température', 'comprise'), ['une', 0, 0, 'entre'])	{'amod - L': [('fr-ud-train_02092', 12, 13)], 'acl - L': [('fr-ud-train_00525', 12, 13)]}
   116	(('est', '-ce'), [0, 0, 0, 'que'])	{'nsubj - L': [('fr-ud-train_11432', 1, 2)], 'expl:subj - L': [('fr-ud-train_02591', 1, 2), ('fr-ud-train_10190', 1, 2)]}
   117	(('est', '-ce'), [0, 0, 0, 'un'])	{'NIL': [('fr-ud-train_06321', '1', '2')], 'cop - R': [('fr-ud-train_05627', 1, 2)]}
   118	(('militants', 'droits'), ['des', 'de', 'les', 'de'])	{'NIL': [('fr-ud-train_00531', '9', '54')], 'nmod - L': [('fr-ud-train_00531', 9, 12)]}
   119	(('située', 'région'), [',', 'dans', 'la', 'de'])	{'NIL': [('fr-ud-train_04932', '16', '32')], 'obl:arg - L': [('fr-ud-train_00534', 9, 12)]}
   120	(('mer', 'mer'), ['la', 'caspienne', 'la', 'noire'])	{'NIL': [('fr-ud-train_00645', '17', '29')], 'conj - L': [('fr-ud-train_13412', 9, 14)]}
   121	(('empare', 'minute'), ["s'", 'de', '1', 'et'])	{'NIL': [('fr-ud-train_00570', '11', '29')], 'obl:mod - L': [('fr-ud-train_00570', 11, 18)]}
   122	(('minute', 'avance'), ['1', 'et', "d'", 'sur'])	{'NIL': [('fr-ud-train_00570', '18', '23')], 'nmod - L': [('fr-ud-train_00570', 18, 34)]}
   123	(('nombre', '1700'), ['le', 'de', 'de', '.'])	{'NIL': [('fr-ud-train_00589', '5', '27')], 'nsubj - R': [('fr-ud-train_00589', 22, 27)]}
   124	(('le', 'fort'), ['à', 'plus', 0, 'de'])	{'NIL': [('fr-ud-train_14504', '16', '18')], 'advmod - R': [('fr-ud-train_07116', 29, 31)]}
   125	(('un', 'an'), ["d'", 0, 0, 'de'])	{'nummod - R': [('fr-ud-train_10246', 36, 37), ('fr-ud-train_11852', 7, 8)], 'det - R': [('fr-ud-train_01685', 20, 21), ('fr-ud-train_04744', 8, 9)]}
   126	(('un', 'an'), [0, 0, 0, 'plus'])	{'nummod - R': [('fr-ud-train_10649', 1, 2)], 'det - R': [('fr-ud-train_00737', 1, 2), ('fr-ud-train_03437', 1, 2), ('fr-ud-train_03866', 1, 2), ('fr-ud-train_07795', 1, 2), ('fr-ud-train_08856', 1, 2)]}
   127	(('né', '22'), [',', 'à', 'le', 'mars'])	{'obl:arg - L': [('fr-ud-train_11657', 4, 8)], 'obl:mod - L': [('fr-ud-train_01593', 11, 15)]}
   128	(('prix', 'académie'), ['le', 'de', "l'", 'de'])	{'NIL': [('fr-ud-train_00638', '11', '26')], 'nmod - L': [('fr-ud-train_00638', 11, 14)]}
   129	(('espèce', 'famille'), ['une', 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_00509', '5', '15'), ('fr-ud-train_00932', '5', '15'), ('fr-ud-train_01069', '5', '10'), ('fr-ud-train_01196', '5', '10'), ('fr-ud-train_01973', '5', '16'), ('fr-ud-train_04077', '5', '10'), ('fr-ud-train_04324', '12', '18'), ('fr-ud-train_06190', '5', '10'), ('fr-ud-train_08526', '11', '17'), ('fr-ud-train_10706', '5', '15'), ('fr-ud-train_11234', '11', '17'), ('fr-ud-train_13975', '5', '12')], 'nmod - L': [('fr-ud-train_00653', 5, 10), ('fr-ud-train_00751', 12, 17), ('fr-ud-train_03996', 5, 10), ('fr-ud-train_05095', 5, 10), ('fr-ud-train_06130', 5, 10), ('fr-ud-train_07952', 16, 21), ('fr-ud-train_08479', 5, 10), ('fr-ud-train_09875', 18, 23), ('fr-ud-train_10311', 5, 10), ('fr-ud-train_10547', 5, 10), ('fr-ud-train_10883', 5, 10), ('fr-ud-train_12431', 5, 10), ('fr-ud-train_13139', 5, 10), ('fr-ud-train_13495', 5, 10)]}
   130	(('espèce', 'famille'), ['une', "d'", 'la', 'de'])	{'NIL': [('fr-ud-train_00758', '14', '25'), ('fr-ud-train_04749', '5', '12'), ('fr-ud-train_07050', '12', '17'), ('fr-ud-train_08935', '5', '11'), ('fr-ud-train_09598', '11', '17'), ('fr-ud-train_10783', '12', '17')], 'nmod - L': [('fr-ud-train_01602', 5, 11), ('fr-ud-train_02151', 5, 10), ('fr-ud-train_02481', 5, 10), ('fr-ud-train_03547', 5, 11), ('fr-ud-train_04362', 5, 11), ('fr-ud-train_05550', 5, 10), ('fr-ud-train_06515', 5, 11), ('fr-ud-train_09131', 5, 10), ('fr-ud-train_09163', 9, 14), ('fr-ud-train_09900', 13, 18), ('fr-ud-train_10540', 5, 10), ('fr-ud-train_12321', 5, 10), ('fr-ud-train_13430', 5, 10)]}
   131	(('plus', 'connu'), ['le', 0, 0, 'est'])	{'NIL': [('fr-ud-train_01059', '4', '5')], 'advmod - R': [('fr-ud-train_07971', 21, 22)]}
   132	(('connu', 'nom'), ['aussi', 'sous', 'le', 'de'])	{'NIL': [('fr-ud-train_06404', '24', '62')], 'obl:mod - L': [('fr-ud-train_06404', 24, 27)]}
   133	(('mois', 'tard'), ['quelques', 'plus', 0, '.'])	{'NIL': [('fr-ud-train_01713', '4', '6')], 'advmod - L': [('fr-ud-train_10999', 10, 12)]}
   134	(('qui', 'a'), [',', "n'", 0, 'plus'])	{'NIL': [('fr-ud-train_02045', '24', '26')], 'nsubj - R': [('fr-ud-train_14024', 15, 17)]}
   135	(('qui', 'a'), [',', "n'", 0, 'pas'])	{'NIL': [('fr-ud-train_04509', '3', '5')], 'nsubj - R': [('fr-ud-train_11671', 4, 6), ('fr-ud-train_13886', 8, 10)]}
   136	(('sainte', 'trinité'), ['la', 0, 0, ','])	{'appos - L': [('fr-ud-train_03889', 18, 19)], 'flat:name - L': [('fr-ud-train_00726', 27, 28)]}
   137	(('le', 'grand'), ['de', 0, 0, 'chelem'])	{'NIL': [('fr-ud-train_02809', '10', '11'), ('fr-ud-train_06505', '12', '13')], 'det - R': [('fr-ud-train_02462', 10, 11)]}
   138	(('an', 'tard'), ['un', 'plus', 0, ','])	{'NIL': [('fr-ud-train_10649', '2', '4')], 'advmod - L': [('fr-ud-train_00737', 2, 4), ('fr-ud-train_03437', 2, 4), ('fr-ud-train_03866', 2, 4), ('fr-ud-train_06736', 11, 13), ('fr-ud-train_08856', 2, 4)]}
   139	(('de', 'kg'), ['catégorie', 'les', '59', 'à'])	{'NIL': [('fr-ud-train_02545', '20', '45')], 'case - R': [('fr-ud-train_02545', 42, 45)]}
   140	(('comté', 'état'), ['le', 'de', "l'", 'de'])	{'NIL': [('fr-ud-train_00747', '2', '10'), ('fr-ud-train_01353', '2', '21'), ('fr-ud-train_02197', '10', '16'), ('fr-ud-train_03599', '2', '20'), ('fr-ud-train_05959', '10', '17'), ('fr-ud-train_09769', '10', '16'), ('fr-ud-train_10072', '2', '13'), ('fr-ud-train_12494', '8', '18'), ('fr-ud-train_13619', '2', '20')], 'nmod - L': [('fr-ud-train_06537', 11, 16)]}
   141	(('comté', 'état'), ['un', 'de', "l'", 'de'])	{'NIL': [('fr-ud-train_01353', '14', '21')], 'nmod - L': [('fr-ud-train_00747', 7, 10)]}
   142	(('de', 'grand'), ['tournée', 'le', 0, 'chelem'])	{'NIL': [('fr-ud-train_02809', '9', '11')], 'case - R': [('fr-ud-train_02462', 9, 11)]}
   143	(('durant', 'guerre'), [0, 'la', 'seconde', 'mondiale'])	{'NIL': [('fr-ud-train_01019', '1', '48')], 'case - R': [('fr-ud-train_07141', 1, 4)]}
   144	(('compétition', 'football'), ['de', 'majeure', 'de', 'féminin'])	{'NIL': [('fr-ud-train_00810', '12', '26')], 'nmod - L': [('fr-ud-train_00810', 12, 15)]}
   145	(('football', 'féminin'), ['de', 0, 0, ','])	{'NIL': [('fr-ud-train_00810', '26', '27')], 'amod - L': [('fr-ud-train_00810', 15, 16)]}
   146	(('coupe', 'monde'), ['la', 'de', 'le', 'en'])	{'NIL': [('fr-ud-train_02072', '13', '25')], 'nmod - L': [('fr-ud-train_11568', 7, 10)]}
   147	(('championnat', 'jeux'), ['le', "d'", 'les', 'olympiques'])	{'NIL': [('fr-ud-train_05897', '6', '39')], 'conj - L': [('fr-ud-train_00810', 22, 36)]}
   148	(('agit', 'dérivé'), ["s'", "d'", 'un', 'de'])	{'NIL': [('fr-ud-train_09574', '3', '10')], 'obl:arg - L': [('fr-ud-train_00814', 3, 6)]}
   149	(('dérivé', 'foire'), ['un', 'de', '«', '»'])	{'NIL': [('fr-ud-train_00814', '6', '26')], 'nmod - L': [('fr-ud-train_00814', 6, 9)]}
   150	(('se', 'trouve'), ['où', 0, 0, 'le'])	{'dep:comp - R': [('fr-ud-train_10306', 25, 26)], 'expl:pass - R': [('fr-ud-train_03387', 42, 43)]}
   151	(('black', 'panther'), ['le', 0, 0, 'party'])	{'amod - R': [('fr-ud-train_05264', 18, 19)], 'flat:name - L': [('fr-ud-train_00839', 2, 3)], 'flat:foreign - L': [('fr-ud-train_09776', 2, 3)]}
   152	(('capitaine', 'régiment'), [',', 'à', 'le', 'de'])	{'NIL': [('fr-ud-train_00851', '11', '35')], 'nmod - L': [('fr-ud-train_00851', 11, 14)]}
   153	(('plus', 'anciens'), ['les', 0, 0, 'de'])	{'NIL': [('fr-ud-train_01925', '9', '10')], 'advmod - R': [('fr-ud-train_07747', 6, 7)]}
   154	(('y', 'sont'), ["n'", 0, 0, 'pas'])	{'NIL': [('fr-ud-train_05904', '7', '8')], 'obl:arg - R': [('fr-ud-train_00858', 4, 5)]}
   155	(('lors', 'élections'), [0, 'de', 'les', 'législatives'])	{'NIL': [('fr-ud-train_09660', '1', '8')], 'obl:arg - L': [('fr-ud-train_03711', 1, 4)]}
   156	(('insectes', 'famille'), ["d'", 'lépidoptères', 'la', 'de'])	{'NIL': [('fr-ud-train_04749', '7', '12')], 'nmod - L': [('fr-ud-train_08935', 7, 11)]}
   157	(('il', 'fils'), [0, 'est', 'le', 'de'])	{'NIL': [('fr-ud-train_08987', '1', '25')], 'nsubj - R': [('fr-ud-train_00911', 1, 4), ('fr-ud-train_02597', 1, 4), ('fr-ud-train_08671', 1, 4), ('fr-ud-train_10298', 1, 4)]}
   158	(('taux', 'taux'), ['le', 'national', 'le', 'départemental'])	{'NIL': [('fr-ud-train_12517', '22', '35')], 'conj - L': [('fr-ud-train_00924', 22, 31), ('fr-ud-train_13896', 22, 31)]}
   159	(('fonctionner', 'jours'), ['faisait', 'six', 'les', 'de'])	{'NIL': [('fr-ud-train_00927', '5', '18')], 'obl:mod - L': [('fr-ud-train_00927', 5, 13)]}
   160	(('plantes', 'genre'), ['de', 'de', 'le', 'croton'])	{'NIL': [('fr-ud-train_00509', '7', '10')], 'nmod - L': [('fr-ud-train_00932', 7, 10)]}
   161	(('fédération', 'football'), ['la', 'de', 'de', '.'])	{'NIL': [('fr-ud-train_04009', '2', '48')], 'nmod - L': [('fr-ud-train_04008', 25, 34)]}
   162	(('classée', 'monument'), [0, 0, 0, 'historique'])	{'xcomp:pred - L': [('fr-ud-train_02563', 1, 2)], 'obj - L': [('fr-ud-train_00972', 1, 2)]}
   163	(('vous', 'avez'), ['si', "n'", 0, 'pas'])	{'NIL': [('fr-ud-train_13219', '4', '6')], 'nsubj - R': [('fr-ud-train_01004', 2, 4)]}
   164	(("n'", 'avez'), ['vous', 0, 0, 'pas'])	{'NIL': [('fr-ud-train_13219', '5', '6')], 'advmod - R': [('fr-ud-train_01004', 3, 4), ('fr-ud-train_02189', 2, 3)]}
   165	(('il', 'est'), [0, 0, 0, 'aussi'])	{'NIL': [('fr-ud-train_00148', '1', '2'), ('fr-ud-train_05370', '1', '2'), ('fr-ud-train_05457', '1', '2'), ('fr-ud-train_05849', '1', '2'), ('fr-ud-train_06607', '1', '2'), ('fr-ud-train_07210', '1', '2'), ('fr-ud-train_08359', '1', '2'), ('fr-ud-train_13335', '1', '2')], 'expl:subj - R': [('fr-ud-train_06466', 1, 2)]}
   166	(('il', 'est'), [0, 0, 0, 'toujours'])	{'NIL': [('fr-ud-train_00596', '1', '2')], 'nsubj - R': [('fr-ud-train_01581', 1, 2)]}
   167	(('il', 'est'), [0, 0, 0, 'à'])	{'NIL': [('fr-ud-train_03534', '1', '2'), ('fr-ud-train_04743', '1', '2'), ('fr-ud-train_07994', '1', '2'), ('fr-ud-train_09602', '1', '2'), ('fr-ud-train_13224', '1', '2')], 'expl:subj - R': [('fr-ud-train_03739', 1, 2), ('fr-ud-train_10228', 1, 2)]}
   168	(('il', 'est'), [0, 0, 0, 'chargé'])	{'NIL': [('fr-ud-train_11517', '1', '2')], 'nsubj - R': [('fr-ud-train_06216', 1, 2), ('fr-ud-train_11665', 1, 2)]}
   169	(('il', 'est'), [0, 0, 0, "d'"])	{'NIL': [('fr-ud-train_13378', '1', '2'), ('fr-ud-train_14112', '1', '2')], 'nsubj - R': [('fr-ud-train_01013', 1, 2)]}
   170	(('23', 'août'), ['le', 0, 0, 'à'])	{'NIL': [('fr-ud-train_07724', '18', '19')], 'nmod - L': [('fr-ud-train_04346', 14, 15)]}
   171	(('plus', 'connus'), ['les', 0, 0, ','])	{'NIL': [('fr-ud-train_02975', '48', '49')], 'advmod - R': [('fr-ud-train_01045', 6, 7)]}
   172	(('comarque', 'province'), ['la', 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_01223', '11', '18')], 'conj - L': [('fr-ud-train_02586', 7, 13)]}
   173	(('scorpions', 'famille'), ['de', 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_10311', '7', '10'), ('fr-ud-train_10547', '7', '10')], 'nmod - L': [('fr-ud-train_01069', 7, 10), ('fr-ud-train_06190', 7, 10)]}
   174	(("c'", 'est'), [',', 0, 0, 'que'])	{'expl:subj - R': [('fr-ud-train_13243', 10, 11)], 'nsubj - R': [('fr-ud-train_01097', 5, 6), ('fr-ud-train_02627', 25, 26)]}
   175	(("c'", 'est'), [',', 0, 0, 'pour'])	{'NIL': [('fr-ud-train_01179', '21', '22'), ('fr-ud-train_10350', '33', '34'), ('fr-ud-train_14446', '9', '10')], 'nsubj - R': [('fr-ud-train_07439', 35, 36), ('fr-ud-train_10003', 27, 28), ('fr-ud-train_13036', 8, 9)]}
   176	(("c'", 'est'), [0, 0, 0, 'en'])	{'NIL': [('fr-ud-train_01620', '1', '2'), ('fr-ud-train_06541', '1', '2'), ('fr-ud-train_09139', '1', '2'), ('fr-ud-train_10689', '1', '2'), ('fr-ud-train_12614', '1', '2')], 'expl:subj - R': [('fr-ud-train_06347', 1, 2), ('fr-ud-train_07232', 1, 2), ('fr-ud-train_11833', 1, 2)]}
   177	(("c'", 'est'), [',', 0, 0, 'de'])	{'NIL': [('fr-ud-train_02044', '27', '28')], 'nsubj - R': [('fr-ud-train_06429', 17, 18)]}
   178	(("c'", 'est'), [',', 0, 0, 'un'])	{'NIL': [('fr-ud-train_02108', '4', '5'), ('fr-ud-train_03928', '5', '6'), ('fr-ud-train_04978', '8', '9'), ('fr-ud-train_06807', '9', '10'), ('fr-ud-train_07914', '7', '8'), ('fr-ud-train_09543', '10', '11'), ('fr-ud-train_10401', '10', '11'), ('fr-ud-train_12128', '11', '12'), ('fr-ud-train_13281', '12', '13')], 'nsubj - R': [('fr-ud-train_02392', 3, 4)]}
   179	(("c'", 'est'), [0, 0, 0, 'à'])	{'NIL': [('fr-ud-train_02460', '1', '2'), ('fr-ud-train_03644', '1', '2'), ('fr-ud-train_05069', '1', '2'), ('fr-ud-train_05287', '1', '2'), ('fr-ud-train_08034', '1', '2'), ('fr-ud-train_08264', '1', '2'), ('fr-ud-train_09581', '1', '2'), ('fr-ud-train_11555', '1', '2'), ('fr-ud-train_14004', '1', '2')], 'expl:subj - R': [('fr-ud-train_06603', 1, 2)]}
   180	(("c'", 'est'), ['et', 0, 0, 'en'])	{'NIL': [('fr-ud-train_05817', '18', '19')], 'expl:subj - R': [('fr-ud-train_08615', 15, 16)]}
   181	(('est', 'élu'), ['il', 0, 0, 'député'])	{'aux:pass - R': [('fr-ud-train_09871', 7, 8), ('fr-ud-train_12810', 24, 25)], 'aux:tense - R': [('fr-ud-train_03332', 2, 3)]}
   182	(('résultats', 'détaillés'), [0, 0, 0, 'de'])	{'acl - L': [('fr-ud-train_05193', 1, 2)], 'amod - L': [('fr-ud-train_04266', 1, 2), ('fr-ud-train_05144', 1, 2), ('fr-ud-train_07286', 1, 2)]}
   183	(('proximité', 'village'), ['à', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_08786', '20', '26')], 'nmod - L': [('fr-ud-train_11857', 11, 14)]}
   184	(('étang', 'superficie'), ["l'", 'de', 'une', 'de'])	{'NIL': [('fr-ud-train_08234', '2', '23')], 'nmod - L': [('fr-ud-train_01154', 2, 9)]}
   185	(('royal', 'navy'), ['la', 0, 0, '.'])	{'flat:name - L': [('fr-ud-train_03991', 29, 30)], 'nmod - R': [('fr-ud-train_01168', 12, 13)]}
   186	(('temps', 'trou'), ['le', "d'", 'un', 'noir'])	{'NIL': [('fr-ud-train_01188', '10', '27')], 'nmod - L': [('fr-ud-train_01188', 10, 13)]}
   187	(('faire', 'sport'), ['de', 'le', 'le', ','])	{'NIL': [('fr-ud-train_02099', '10', '24')], 'obl:mod - L': [('fr-ud-train_01194', 8, 13)]}
   188	(('serpents', 'famille'), ['de', 'de', 'la', 'de'])	{'NIL': [('fr-ud-train_05095', '7', '10'), ('fr-ud-train_06130', '7', '10'), ('fr-ud-train_07952', '18', '21'), ('fr-ud-train_13139', '7', '10')], 'nmod - L': [('fr-ud-train_01196', 7, 10)]}
   189	(('siège', 'comté'), ['le', 'de', 'le', 'de'])	{'NIL': [('fr-ud-train_01208', '5', '31')], 'nmod - L': [('fr-ud-train_01208', 5, 8), ('fr-ud-train_09769', 7, 10)]}
   190	(('comparant', 'échelle'), ['en', 'la', "l'", 'de'])	{'NIL': [('fr-ud-train_07982', '2', '10')], 'obl:arg - L': [('fr-ud-train_01211', 2, 10)]}
   191	(('échelle', 'rivière'), ["l'", 'de', 'la', ','])	{'NIL': [('fr-ud-train_07982', '10', '16')], 'nmod - L': [('fr-ud-train_01211', 10, 16)]}
   192	(('commune', 'province'), ['une', 'italienne', 'la', 'de'])	{'NIL': [('fr-ud-train_02234', '5', '15')], 'nmod - L': [('fr-ud-train_11033', 4, 8), ('fr-ud-train_13156', 4, 8), ('fr-ud-train_13630', 7, 11)]}
